model.mps,0.0,2,3,0.001
25fv47.mps,5501.845888286723,1571,821,0.278
25fv47.mps,1571,821,10400,5501.85,0.28
25fv47.mps,1571,821,10400,5501.85,0.278
25fv47.mps,1571,821,10400,5501.85,0.278
25fv47.mps,1571,821,10400,5501.85,0.276
25fv47.mps,1571,821,10400,5501.85,0.276
emps/25fv47.mps,1545,777,10247,5501.85,0.213
MPS_Files/E226.SIF,258,159,2300,-25.86,0.008
MPS_Files/E226.SIF,258,159,2300,-25.86,0.007
MPS_Files/E226.SIF,258,159,2300,-25.86,0.007
E226-web.mps,258,159,2300,-25.86,0.007
E226-web.mps,258,159,2300,97.42,0.004
E226-web.mps,258,159,2300,-25.86,0.007
E226-web.mps,258,159,2300,-25.86,0.007
E226-web.mps,258,159,2300,-25.86,0.007
data_set/L1/L1_table6.mps,1755,374,5286,9.0,0.008
data_set/L1/L1_table6.mps,3168,510,9504,9.0,0.008
data_set/L1/L1_table6.mps,1755,374,5286,-1e+30,0.027
data_set/L1/L1_table6.mps,1755,374,5286,9.0,0.011
data_set/L1/L1_table6.mps,1755,374,5286,9.0,0.009
data_set/L1/L1_table6.mps,1755,374,5286,9.0,0.009
